视频id,标题,描述,最新弹幕数量,金币数量,不喜欢,收藏,最高排名,点赞数,目前排名,回复数,分享数,观看数,弹幕内容
av85619335,高燃催泪  抗疫混剪 献给每一个抗击疫情的中国人  人民抗击新型冠状病毒的那些感人瞬间,一个月以来;;;每个中国人在抗疫一线的点滴;;;见证着中国的凝聚力;;;与时间赛跑;;;与病魔抗争;;;寻找生命的答案;;;寻找属于一个时代的感动。;;;;;;Jan29th2020初稿;;;Feb6th2020第一次修改，修正了00:23的转场问题和02:09-02:12的画面错误，调校了部分音频;;;Feb6th2020第二次修改，修正了画面03:45的字幕缺失，紧凑了视频时长,143,572,0,1225,0,1076,0,124,1460,55436,BGM好评---英雄不朽---加油---BGM：你的答案---武汉加油呀---在现场---初四7班---我三连了，你们呢---武汉加油！中国牛壁！---武汉加油！中国加油！---
av86651355,讲话时突然干咳，世卫组织总干事忙打趣：不是冠状病毒,3日，世界卫生组织总干事谭德塞在讲话时谈及新冠病毒疫情，他表示“战胜疫情的唯一途径是所有国家团结合作”。讲话期间，谭德塞突然干咳，在喝了一口水后他打趣道：“别担心，不是冠状病毒。”他还在讲话中表示，没有理由对国际旅行和贸易采取限制措施。同时，世卫组织正在与媒体公司合作，阻止谣言和错误信息的传播。他呼吁世界各国团结一致对抗疫情，并将重心放在“防范”而非“恐慌”。,1123,1145,0,4530,51,49362,0,2253,1532,1649550,排面---没有一个sg---？---这口音---开什么国际玩笑---咳咳咳---呵呵呵呵呵---教科书般的咳嗽---果然没有油管，很真实---后面有人一直咳啊---
av95894224,【数据可视化】意大利疫情有多严重？意大利新型冠状病毒变化图（2.24-3.11）,意大利新型冠状病毒疫情变化图;;;数据源：意大利卫生部/DipartimentodellaProtezioneCivileCOVID-19Italia-Monitoraggiodellasituazione;;;BGM：Borrtex—Peaceful_Mind,28,17,0,49,0,168,0,71,12,16920,太恐怖了---两万了---意大利加油吧---17000了---好运---意大利人自己不重视啊！---2万了---BGm好听---触目惊心---2万+---
av85826987,新型冠状病毒高考考点汇总,,364,523,0,4572,0,1582,0,123,954,47017,谢谢老师---谢谢老师---好好学习，加油。---谢谢老师，讲的真好---宿主细胞---细胞 组织 器官 系统 个体 物种 种群 生态系统---主要遗传物质是DNA---23333---都是学霸---emm ---
av85145033,天佑武汉，为了预防冠状病毒，封村以后，家里亲戚结婚最新消息，新娘过来，亲友回去，史上最孤独的新娘！！,新年第二天，也是封村第二天，亲友结婚，新娘过来，新娘的亲友回去，史上最孤独的新娘！,77,163,0,614,0,5123,0,386,1721,463779,我擦---我有点想笑哈哈---冠状病毒时期的爱情---哈哈哈哈哈哈哈哈哈哈哈哈---哈哈哈单身狗的快乐---bgm是什么啊？感觉好熟悉---恭喜---你们聚堆儿啦，分开一点。---挺美的这样---独有一番风味---
av96359329,《推背图》如何精准预言2020年新冠状病毒？看完不得不服,《推背图》如何精准预言2020年新冠状病毒？看完不得不服,5,4,0,6,0,14,0,3,9,1629,胡说八道---一本正经胡说八道---胡说八道  你拉倒吧---自然?灾害?自然的灾害?---哪有立春---
av89585470,印度称已战胜新型冠状病毒，三位患者已治愈，1000多人解除隔离！,http://i.youku.com/i/UMjg1MDQ3NjA=,269,31,0,276,0,2549,0,1390,315,360716,这就战胜了---挖槽印三哥吃蝙蝠吃出了抗体。。着实牛逼---阿三，牛逼轰轰---阿三，牛逼轰轰---牛逼轰轰---三哥厉害，做到美国都做不到的事，赶紧支援下美国---恒河水战胜的---跟恒河水比新冠病毒都是弟弟---3哥牛p---？？？？？---
av90663850,【双语新闻】关于新型冠状病毒的一些事实 Get the facts on coronavirus-CBCnews,https://www.youtube.com/watch?v=kIL5m5XznNY&t=98s;;;如果大家有什么想看的视频，可以在评论区留言，up会尽量去搬运，翻译。,0,8,0,35,0,17,0,0,19,706,
av88744265,【疫情防控系列团课讲座1】陈捷亮：抗击新型冠状病毒——一场没有硝烟的战争,疫情防控系列团课讲座由复旦大学青年讲师团推出。,2,51,0,76,0,141,0,0,116,12427,
av83670252,为什么每次疫情都是冠状病毒？冠状病毒为什么这么难治？《今天你交智商税了吗》第93集,每次疫情的背后我们总能看到“冠状病毒”的名字，为什么冠状病毒传播这么凶猛，又这么难以治愈呢？本集节目老吴和你们详细讲讲冠状病毒的来由和机制。,832,1617,0,2022,0,9340,0,1210,2217,481013,？？？---？？？？？？？？？？？---传染性点太高了，致命性不高---我在哪---梵高的星空？---好可怕---骆驼呼吸症---玩尬的？---你们怎么啥都懂！---哈哈---
av87206318,【史图馆】新型冠状病毒肺炎传播历史（2019.12.31-2020.1.27）,视频中出现的数据均来源于央视新闻官方微博;;;BGM：Brotherhood-JohnDreamer;;;本视频如产生收益，将全部捐赠以对抗肺炎疫情！,217,393,0,328,0,599,0,85,107,19335,武汉加油，中国加油---南方已大部分受感染---病毒向内地蔓延---武汉封城---火神山雷神山医院加紧建造---我们在见证历史---泰国沦陷---韩国沦陷---日本沦陷---重启沦陷---
av86521542,原来冠状病毒长这样，进入人体消灭它们吧！,新浪微博:薄海纸鱼;;;西瓜视频搜索：薄海纸鱼;;;如果大家喜欢我的视频，别忘了点个赞，收藏一下，投个币，还有订阅我的频道哦！;;;也可以把我的视频分享给你们的朋友们！,1474,757,0,968,0,9482,0,1000,57,272058,好烫好烫---没评论---你们能看到评论吗---20分钟 烫---所谓的于谦型大脑---指头上的戒指吗？---有人吗？---切，我才是第一个看完的，我不想发就有人占位？---21分钟之前的鱼还能吃---斯科特朗---
av87315483,【郭杰瑞】刚从中国回来，让我告诉你关于冠状病毒的事！,https://www.youtube.com/watch?v=7DUkWy0D1cs;;;转自一个不存在的网站！;;;不过审的内容剪掉了！;;;武汉加油，中国加油！,152,323,0,425,0,2995,0,113,105,161369,"Play a role, 起重要角色(了), 推波助澜---对---他们因此病死亡的几率很小---我们带口罩是因为我们很谨慎---我并不是已经得病---郭杰瑞算是我看过呃几个比较靠谱的外国UP了，感觉很真诚---科普一下，CDC 美国健康与疾控中心，官网可以直接进入---杰瑞好样的---谢谢你郭杰瑞---这哥们英语比普通话正宗---"
av94543108,意大利民主党主席确认已经得了新型冠状病毒，已经自行隔离了，看看日本网民的看法,-,4,0,0,7,0,87,0,6,5,13214,握着我的抱枕---病毒面前人人平等---不死有钱人不紧张的外国人啊---弹幕？？？---
av94358479,躲避冠状病毒的韩国人,躲避冠状病毒的韩国人,272,356,0,119,0,1919,0,163,25,73206,我也想住这种旅店---蛮好的诶---加油加油加油！！！！---看起来还不错哇！这房子！---哈哈哈感觉变帅了---期待！---食物要多准备---多准备可以储存久的食物减少外出---风景好看---下了血本了---
av84875203,新型冠状病毒传播历程,从网上搜集的资料整理出来的视频，旨在提醒大家不要掉以轻心，一定要重视起来。;;;虽然很不情愿，但是按照这次病毒的爆发的时间线来看，感染的人数会比2003年的非典还要多。;;;保重！,4745,3783,0,4981,0,20383,0,1297,2364,626515,武汉加油，相信国家---这次相对于2003年已经很及时了---河南点赞---武汉加油！---武汉加油！---触目惊心---up头像好评---就算刷爆屏也阻挡不了我们。---加油---中国加油，武汉加油---
av96095757,为什么印度的新型冠状病毒好像消失了？难道病毒真怕热？,为什么印度的新型冠状病毒好像消失了？难道病毒真怕热？,3,0,0,1,0,21,0,12,0,1621,抵抗力强---疟nuè疾---别人开玩笑的也拿真的说---
av95870781,留学生视角下的美国疫情真实现状  |物资短缺 |种族歧视 |不戴口罩 |万人活动 |新型冠状病毒 |肺炎,这两天在美国的新冠确诊病例呈指数级增长，确诊病例一天比一天多;;;美国很多州都宣布进入紧急状态，大量高校宣布停课，改为线上教学;;;不知道多难的2020还会持续多久;;;;;;相关视频：;;;为什么枪击案件在美国如此猖狂？;;;av87459336,4935,13087,0,4308,0,25399,0,1778,2616,282987,中华人民共和国万岁！---中华人民共和国万岁！---中华人民共和国万岁！---中华人民共和国万岁！---中国也没有带口罩的习惯，你看看现在---报警有用？---美官方都不建议戴口罩，当然...---？？？？？？？？？？？---千万保重，与你同在！---？？？？？？？？？？？？？---
av95094071,冠状病毒在西班牙大爆发！！！夫妻郊游全然不知，回到家看到新闻震惊了，看来还得囤货,移民欧洲的夫妻俩出游访友，跟朋友们分享从城市到乡间的一路美景，隔离久了都应该出来放飞一下心情，虽然只是去了一个小村庄，心情也是蛮好的,3,4,0,4,0,37,0,21,1,4425,666666---23333333333---武汉现在比板鸭安全，懂？---
av86052908,"新型冠状病毒有多狡猾？疫情当头,肺炎之下,病毒与人类的军备竞赛,谁能活到最后？武汉加油!",,13968,201291,0,72811,10,189981,0,6132,51694,1960200,病毒难道就是外星人吗？？？？？？？？？？？？--- 中国加油，武汉加油---一句话，等夏天---存在即合理---吃野味的都抓起来---疫情快点结束吧---武汉加油---再见88---  把我认识的几个名词放在几句话里说成我听不懂的话---求BGM---
av86132456,新型冠状病毒 | 我采访了留在武汉的外国留学生，他们为什么不离开中国？,-,5458,19299,0,5873,0,57179,0,2082,1528,1126703,谢谢---武汉加油---哈哈哈酷---缓缓打出一个？---我武汉的肯了3天萝卜---谢谢这个朋友---谢谢---武汉加油---英雄武汉---好能说种族天赋么---
av95643811,【THC搬运】哈佛大学停课 冠状病毒 校长 Coronavirus Harvard University,https://www.youtube.com/watch?v=cSAeOL041ls,0,2,0,42,0,45,0,2,4,4020,
av86593599,中俄字幕：冠状病毒非常时期让我们看看高加索大叔如何消灭一只羊 在家学习一下我们可以做,https://www.youtube.com/watch?v=MxfRhANT0uU,3603,664,0,1911,0,5721,0,431,2107,249881,很明显，没有以前那些刀快---然后把头埋进去---好黄的土豆，中国土豆泛白---今天不给猫吃点吗---油闷---这盘子怎么有绳子？---不滤油吗---白色是猪肥油，之前不是说了吗---这是要炸羊肉---烤羊好吃---
av85847123,UP咳嗽发烧38度2去医院，疑似新型冠状病毒，还是中枪了,肺部CT正常，血常规正常，异常低烧，未找到原因，;;;医生说不能排除新冠的可能性，可能是轻症患者抵抗力好发病不明显，需要自行隔离观察3~7天;;;看看能不能退烧，退了就是好了，没退继续去医院验血;;;多喝水是重点，一定要多喝水！！！！,12173,21727,0,8016,45,77797,0,5696,9202,2530035,注意安全啊！---够了吧---加油，挺住，严重赶紧去医院---标准天津普通话---标准天津普通话---加油---加油---加油---加油---up加油---
av90103340,伊拉克在如此艰难之时，向中国捐赠医疗用品协助中国抗击冠状病毒,,162,95,0,94,0,1487,0,133,29,33859,谢谢---谢谢！---虽然是感谢，但是美国撤军的事没法太多帮你们---感激---感谢，铭记于心---是不是东方---这些国家都懂道理，美国政府屁都不懂---非常感谢---谢谢---這才是真正的友國，比起西方狗國更有用得多。---
av95720732,[中字]小品!Cardi b首谈冠状病毒，扬言要逃到岛上,网络;;;卡老师新小品,175,228,0,1584,0,4502,0,303,2337,180146,hhhhhhh---孝素惹---真素惹---指甲受不了了---好的，岛上见---rap---我好像按住她把指甲剪了---好的岛上见！---哈哈哈哈哈哈哈哈哈---哈哈哈哈哈哈哈哈哈---
av93440122,评论翻译：中国转向AI，冠状病毒控制中的机器人油管网友评论,评论翻译：中国转向AI，冠状病毒控制中的机器人油管网友评论,8,4,0,17,0,150,0,16,4,14367,这口罩牛皮---这个视频我好像前两天就看过了，怎么昨天才上传的？是我看错了吗？---哈哈---同款口罩---经纬？---怎么哪儿都有阿三刷存在感---哈哈哈哈，你瞅啥---说的就是你啊哈哈哈哈---
av91738966,【搬运】央视新闻微博直播：意大利已成欧洲新型冠状病毒疫情最重国（2020年2月25日）,【搬运】央视新闻微博直播：意大利已成欧洲新型冠状病毒疫情最重国（2020年2月25日）,11,0,0,11,0,41,0,6,3,14513,除了记者带口罩~其他人都没有带口罩~我都是服了---中文还给配拼音？---基本没有什么人带口罩啊！---哇塞，完全不戴口罩---人家不止不戴，见着戴的还打人呢---可以，就喜欢这种团灭精神---没几个人带口罩---意大利问题还不大，可以放松放松，万能的上帝会拯救他们的---还是不戴口罩…………………---为什么有拼音？---
av95022471,外交部谴责蓬佩奥“武汉冠状病毒”表述：谴责这种卑劣做法！,-,33,87,0,51,0,1284,0,74,50,10205,第一第一～---中国中国中国---我来组成第一条弹幕---对于捏造事实的人曲解事实的人，Fword永远等着您。---这一次，中国不管怎么样都要把这个病毒源头就出来，这锅不背---我笑了---中国加油---承包空屏，加油加油！！---爽爽爽哥---耿爽不爽---
av94980631,外交部：谴责美国国务卿蓬佩奥“武汉冠状病毒”表述,来源：外交部发言人办公室;;;“外交部发言人办公室”消息，在3月9日外交部例行记者会上，有记者问：据报道，美国国务卿蓬佩奥3月6日接受美国媒体采访时将新型冠状病毒称为“武汉冠状病毒”。中方对此有何评论？;;;耿爽：世界卫生组织已经就新型冠状病毒作出正式命名。个别美国政客不尊重科学，不尊重世卫组织的决定，迫不及待地借新冠病毒对中国和武汉进行污名化，我们谴责这种卑劣的做法。,389,1348,0,723,0,31251,0,661,567,333886,好久不见---王爽表示不爽---武汉加油---美国流感---还是我爽哥帅气---不爽---呵呵，当年也没听过美国流感，那些人可真敢说---美国病毒---u1s1---美国政客不是不尊重科学，是不懂科学！---
av86050944,外国人实拍，新型冠状病毒防疫期间，中国生活实况,此视频将是我在肺炎病毒防疫期间在中国实拍并且与大家分享的最后一个视频。目的是希望海内外朋友能够了解在此期间中国人民的真实生活状况：大家遵守祖国号召的同时，和家人自娱自乐、用自己的方式在家庆祝着中国春节。我们用待在家的实际行动支持中国，支持武汉。;;;我的公司是在全世界宣传中国文化:www.zigonglanterngroup.com;中国文化有历史积淀且意味深长，我喜欢它。希望大家支持我的YouTube：youtube.com/ChineseLanternFestival让我把中国文化带得更远!,251,674,0,453,0,4308,0,271,64,333300,看看肺炎病毒防疫期中国老百姓最真实的生活。。。---支持下重庆女婿哈哈哈---非常感谢！---我英语这么好就好了---外国博主在油管发布荒唐言论---口罩戴反了---支持你们---现在去超市必须戴口罩---我们重庆的！---重庆---
av94574393,总算见韩综说起新型冠状病毒的事情了，刘在石上班戴口罩，节目特辑全面取消,闲着干嘛呢;;;总算见韩综说起新型冠状病毒的事情了，刘在石上班戴口罩，节目特辑全面取消,14,1,0,95,0,526,0,73,15,166559,好在戴眼镜---想看韩总云录制，可能吗---都不带口罩了---像无挑，紧跟时事---还得是金泰浩---gg---话说 一筐猪真的是被神宠爱的孩子啊 正好受伤正好不用工作伤好了也可以开始工作了---我和大神同款口罩啊啊啊啊！！！---一直强调？---国内也是，不严重不重视---
av84324588,钟南山：肯定新型冠状病毒肺炎人传人 病毒很可能来自野味,钟南山：根据目前的资料，新型冠状病毒肺炎是肯定的人传人，在广东有2个病例，没去过武汉，但家人去了武汉后染上了新型冠状病毒肺炎，现在可以说，肯定的，有人传人现象。,6181,18979,0,13225,10,87937,0,10259,44567,2771815,国士无双---国士无双---不是海鲜 是吃野味---武汉加油---国士无双---病从口入---国士无双---国士无双---国士无双---国士无双！---
av90647746,过于真实，面对新型冠状病毒不同类型人的态度,-,306,528,0,678,0,4575,0,77,171,49855,要乐观，要自觉---过于真实---过于乐观---借你吉言---来了---加油---借你吉言---这不是我妈吗---加油---真是---
av89966332,同样是冠状病毒 2003年我们是怎么活下来的？,【新冠肺炎vs非典】跨越17年抗疫画面重叠，努力查了03年非典的一些资料，节选了一部分与20年抗疫重叠的画面，捐躯赴国难，视死忽如归！,167,84,0,113,0,329,0,87,6,6927,泪目---中国速度牛！！！---一定会有人记得！---一定会有人记得---我啊---武汉加油---一定会好起来的---借你吉言---借你吉言---可以可以---
av88541763,手书区，向冠状病毒宣战！,愿病毒远离所有人;;;BGM:;;;让我留在你身边;;;作曲:唐汉霄;;;作词:唐汉霄;;;演唱者：苏琛,1175,10463,0,8240,0,23862,0,758,1469,210658,爷爷加油我爱你我爱你---爷爷加油我爱你---我寻思悟空不怕这东西吧---我的童年啊，武汉加油，中国加油---为什么没有蜡笔小新。---卡卡罗特也生病了---汤姆杰瑞加油---琦玉老师感染病毒不会生病。但是会传染给其他人。所以要带口罩！---哈哈---这些超人。感染病毒不会生病。但是为了不传染给普通人。还带口罩。赞一个。---
av90539533,日本防疫专家：新冠状病毒迅速在日本蔓延,https://haokan.baidu.com/v?vid=7803530804542134712&pd=bjh&fr=bjhauthor&type=video,46,5,0,58,0,178,0,43,15,49441,……---严重---刚开始都没控制---七十岁？出租车？---发汗过---除去砖石公主号你看看韩国现在和日本的病历---韩国你看看---东京加油，日本加油。---美国消息更落后……---医生卧槽---
